Job No,Date,(No column name),Weekday
1122664.02000,2017-09-07,4,5
1125622.01000,2017-09-13,3,2
1153806.01000,2017-10-08,7,1
1153823.03000,2017-10-08,7,1
1154212.01000,2017-10-10,2,1
1131390.01000,2017-09-19,2,1
1156033.01000,2017-10-11,3,2
1157352.01000,2017-10-12,4,3
1134544.01000,2017-09-21,4,3
1137199.01000,2017-09-23,6,5
1138945.01000,2017-09-26,2,1
1157361.01000,2017-10-12,4,3
1158013.00000,2017-10-17,2,3
1160362.01000,2017-10-13,5,6
1161824.01000,2017-10-17,2,1
1161827.01000,2017-10-17,2,1
1147519.01000,2017-10-04,3,2
1149685.01000,2017-10-05,4,3
1171894.01000,2017-10-26,4,3
1172080.01000,2017-10-28,6,5
1181640.01000,2017-11-03,5,4
1183103.01000,2017-11-04,6,5
1186639.01000,2017-11-08,3,2
1186784.01000,2017-11-08,3,2
1187979.01000,2017-11-09,4,3
1188121.01000,2017-11-09,4,3
1189511.01000,2017-11-10,5,4
1190845.01000,2017-11-11,6,5
1192455.01000,2017-11-14,2,1
1192464.01000,2017-11-14,2,1
1192658.01000,2017-11-14,2,1
1194295.01000,2017-11-15,3,2
1194439.01000,2017-11-15,3,2
1195398.01000,2017-11-15,3,2
1198276.01000,2017-11-18,6,5
1201939.01000,2017-11-22,3,2
1201975.01000,2017-11-22,3,2
1203300.01000,2017-11-23,4,3
1108688.01000,2017-08-29,2,1
1116274.01000,2017-09-05,2,1
1120853.01000,2017-09-08,5,4
1122022.01000,2017-09-09,6,5
1123425.01000,2017-09-10,7,1
1137163.01000,2017-09-23,6,5
1137396.01000,2017-09-23,6,5
1142096.01000,2017-09-28,4,3
1149724.01000,2017-10-05,4,3
1151124.01000,2017-10-06,5,4
1154175.01000,2017-10-10,2,1
1158747.01000,2017-10-13,5,4
1158736.01000,2017-10-13,5,4
1161757.01000,2017-10-17,2,1
1164972.01000,2017-10-19,4,3
1167783.01000,2017-10-21,6,5
1171805.01000,2017-10-26,4,3
1179061.01000,2017-11-01,3,2
1180217.01000,2017-11-02,4,3
1182903.01000,2017-11-04,6,5
1184754.01000,2017-11-07,2,1
1184943.01000,2017-11-07,2,1
1186693.01000,2017-11-08,3,2
1192644.02000,2017-11-14,2,1
1194306.01000,2017-11-15,3,2
1194326.01000,2017-11-15,3,2
1195681.01000,2017-11-16,4,3
1197050.01000,2017-11-17,5,4
1198302.02000,2017-11-18,6,5
1198302.03000,2017-11-18,6,5
1203444.01000,2017-11-23,4,3
1207792.01000,2017-11-28,2,1
1209632.01000,2017-11-29,3,2
1209658.02000,2017-11-29,3,2
1210972.01000,2017-11-30,4,3
1211010.01000,2017-11-30,4,3
1212632.01000,2017-12-01,5,4
1161792.01000,2017-10-17,2,1
1161842.01000,2017-10-17,2,1
1167585.01000,2017-10-21,6,5
1167611.01000,2017-10-21,6,5
1169036.03000,2017-10-22,7,1
1171686.01000,2017-10-25,3,2
1177086.01000,2017-10-31,2,1
1180398.01000,2017-11-02,4,3
1181629.01000,2017-11-03,5,4
1181691.01000,2017-11-03,5,4
1181691.02000,2017-11-03,5,4
1182929.01000,2017-11-04,6,5
1184790.01000,2017-11-07,2,1
1186436.00000,2017-11-04,6,5
1192428.01000,2017-11-14,2,1
1192512.01000,2017-11-14,2,1
1194305.01000,2017-11-15,3,2
1195381.01000,2017-11-15,3,2
1195593.01000,2017-11-16,4,3
1196798.00000,2017-11-15,3,2
1197021.01000,2017-11-17,5,4
1197032.01000,2017-11-17,5,4
1197162.01000,2017-11-17,5,4
1198312.01000,2017-11-18,6,5
1198475.01000,2017-11-18,6,5
1203089.00000,2017-11-21,2,1
1203262.01000,2017-11-23,4,3
1203291.01000,2017-11-23,4,3
1203350.01000,2017-11-23,4,3
1209632.02000,2017-11-29,3,2
1212277.00000,2017-11-30,4,1
1158802.01000,2017-10-13,5,4
1160362.00000,2017-10-13,5,6
1164944.01000,2017-10-19,4,3
1166407.01000,2017-10-20,5,4
1169391.01000,2017-10-24,2,1
1171711.01000,2017-10-25,3,2
1171843.01000,2017-10-26,4,3
1177050.01000,2017-10-31,2,1
1178926.01000,2017-11-01,3,2
1181417.00000,2017-11-01,3,2
1181774.01000,2017-11-03,5,4
1182939.01000,2017-11-04,6,5
1186603.01000,2017-11-08,3,2
1186710.00000,2017-11-07,2,3
1192615.01000,2017-11-14,2,1
1195775.01000,2017-11-16,4,3
1200276.01000,2017-11-21,2,1
1202111.01000,2017-11-22,3,2
1204838.01000,2017-11-24,5,4
1207801.01000,2017-11-28,2,1
1209669.01000,2017-11-29,3,2
